name,recclass,mass (g),year,reclat,reclong
Aachen,L5,21,1880,50.775,6.08333
Aarhus,H6,720,1951,56.18333,10.23333
Abee,EH4,107000,1952,54.21667,-113
Acapulco,Acapulcoite,1914,1976,16.88333,-99.9
Achiras,L6,780,1902,-33.16667,-64.95
Adhi Kot,EH4,4239,1919,32.1,71.8
Adzhi-Bogdo (stone),LL3-6,910,1949,44.83333,95.16667
Agen,H5,30000,1814,44.21667,0.61667
Aguada,L6,1620,1930,-31.6,-65.23333
Aguila Blanca,L,1440,1920,-30.86667,-64.55
Aioun el Atrouss,Diogenite-pm,1000,1974,16.39806,-9.57028
Aïr,L6,24000,1925,19.08333,8.38333
Akaba,L6,779,1949,29.51667,35.05
Akbarpur,H4,1800,1838,29.71667,77.95
Akwanga,H,3000,1959,8.91667,8.43333
Akyumak,"Iron, IVA",50000,1981,39.91667,42.81667
Al Rais,CR2-an,160,1957,24.41667,39.51667
Al Zarnkh,LL5,700,2001,13.66033,28.96
Alais,CI1,6000,1806,44.11667,4.08333
Albareto,L/LL4,2000,1766,44.65,11.01667
Alberta,L,625,1949,2,22.66667
Alby sur Chéran,Eucrite-mmict,252,2002,45.82133,6.01533
Aldsworth,LL5,700,1835,51.78333,-1.78333
Aleppo,L6,3200,1873,36.23333,37.13333
Alessandria,H5,908,1860,44.88333,8.75
Alexandrovsky,H4,9251,1900,50.95,31.81667
Alfianello,L6,228000,1883,45.26667,10.15
Allegan,H5,32000,1899,42.53333,-85.88333
Allende,CV3,2000000,1969,26.96667,-105.31667
Almahata Sitta,Ureilite-an,3950,2008,20.74575,32.41275
Alta'ameem,LL5,6000,1977,35.27333,44.21556
Ambapur Nagla,H5,6400,1895,27.66667,78.25
Andhara,Stone-uncl,2700,1880,26.58333,85.56667
Andover,L6,3200,1898,44.61667,-70.75
Andreevka,L3,600,1969,48.7,37.5
Andura,H6,17900,1939,20.88333,76.86667
Angra dos Reis (stone),Angrite,1500,1869,-22.96667,-44.31667
Ankober,H4,6500,1942,9.53333,39.71667
Anlong,H5,2500,1971,25.15,105.18333
Aomori,L6,320,1984,40.81056,140.78556
Appley Bridge,LL6,15000,1914,53.58333,-2.71667
Apt,L6,3200,1803,43.86667,5.38333
Arbol Solo,H5,810,1954,-33,-66
Archie,H6,5070,1932,38.5,-94.3
Arroyo Aguiar,H5,7450,1950,-31.41667,-60.66667
Asco,H6,41,1805,42.45,9.03333
Ash Creek,L6,9500,2009,31.805,-97.01
Ashdon,L6,1300,1923,52.05,0.3
Assisi,H5,2000,1886,43.03333,12.55
Atarra,L4,1280,1920,25.25417,80.625
Atemajac,L6,94.2,1896,20.06667,-103.66667
Athens,LL6,265,1933,34.75,-87
Atoka,L6,1384.2,1945,34.31667,-96.15
Aubres,Aubrite,800,1836,44.38333,5.16667
Aumale,L6,50000,1865,36.16667,3.66667
Aumieres,L6,2000,1842,44.33333,3.23333
Ausson,L5,50000,1858,43.08333,0.58333
Avanhandava,H4,9330,1952,-21.46028,-49.95083
Avce,"Iron, IIAB",1230,1908,46,13.5
Avilez,H,146,1855,25,-103.5
Awere,L4,134,1968,2.71667,32.83333
Aztec,L6,2830,1938,36.8,-108
Bachmut,L6,18000,1814,48.6,38
Bahjoi,"Iron, IAB-sLL",10322,1934,28.48333,78.5
Bald Mountain,L4,3700,1929,35.96667,-82.48333
Baldwyn,L6,345,1922,34.5,-88.66667
Bali,CV3,1000,1907,5.38333,16.38333
Ban Rong Du,"Iron, ungrouped",16700,1993,16.66667,101.18333
Bandong,LL6,11500,1871,-6.91667,107.6
Bansur,L6,15000,1892,27.7,76.33333
Banswal,L5,14,1913,30.4,78.2
Banten,CM2,629,1933,-6.33333,106
Barbotan,H5,6400,1790,43.95,-0.05
Barea,Mesosiderite-A1,3200,1842,42.38333,-2.5
Barnaul,H5,23.2,1904,52.73333,84.08333
Barntrup,LL4,17,1886,52,9.1
Baroti,L6,4500,1910,31.61667,76.8
Barwell,L5,44000,1965,52.56528,-1.33972
Bassikounou,H5,29560,2006,15.78333,-5.9
Baszkówka,L5,15500,1994,52.03333,20.93583
Bath,H4,21000,1892,45.41667,-98.31667
Bath Furnace,L6,86000,1902,38.25,-83.75
Battle Mountain,L6,2900,2012,40.66813,-117.18913
Bawku,LL5,1557,1989,11.08333,-0.18333
Baxter,L6,611,1916,36.75,-93.5
Beardsley,H5,16000,1929,39.8,-101.2
Beaver Creek,H5,14000,1893,51.16667,-117.33333
Beddgelert,H5,794,1949,53.01667,-4.1
Bells,C2-ung,375,1961,33.6,-96.46667
Benares (a),LL4,3700,1798,25.36667,82.91667
Benguerir,LL6,25000,2004,32.25,-8.15
Beni M'hira,L6,19000,2001,32.86667,10.8
Benld,H6,1770.5,1938,39.08333,-89.15
Benoni,H6,3880,1943,-26.16667,28.41667
Bensour,LL6,45000,2002,30,-7
Benton,LL6,2840,1949,45.95,-67.55
Berduc,L6,270,2008,-31.91,-58.32833
Béréba,Eucrite-mmict,18000,1924,11.65,-3.65
Berlanguillas,L6,1440,1811,41.68333,-3.8
Berthoud,Eucrite-mmict,960,2004,40.30583,-105.02325
Bethlehem,H,13.9,1859,42.53333,-73.83333
Beuste,L5,2000,1859,43.21667,-0.23333
Beyrout,LL3.8,1100,1921,33.88333,35.5
Bhagur,L6,18,1877,20.88333,74.83333
Bhawad,LL6,678,2002,26.50833,73.11528
Bherai,L6,100,1893,20.83333,71.46667
Bhola,LL3-6,1047,1940,22.68333,90.65
Bholghati,Howardite,2500,1905,22.08333,86.9
Bialystok,Eucrite-pmict,4000,1827,53.1,23.2
Bielokrynitschie,H4,1900,1887,50.13333,27.16667
Bilanga,Diogenite,25000,1999,12.45,-0.08333
Binningup,H5,488.1,1984,-33.15639,115.67639
Birni N'konni,H4,560,1923,13.76667,5.3
Bishopville,Aubrite,6000,1843,34.16667,-80.28333
Bishunpur,LL3.15,1039,1895,25.38333,82.6
Bjelaja Zerkov,H6,1850,1796,49.78333,30.16667
Bjurböle,L/LL4,330000,1899,60.4,25.8
Black Moshannan Park,L5,705,1941,40.91667,-78.08333
Blackwell,L5,2381,1906,36.83333,-97.33333
Blanket,L6,5100,1909,31.83333,-98.83333
Blansko,H6,470,1833,49.36667,16.63333
Bloomington,LL6,67.8,1938,40.48,-89.00417
Bo Xian,LL3.9,7500,1977,33.83333,115.83333
Bocas,L6,56,1804,23,-102
Bogou,"Iron, IAB-MG",8800,1962,12.5,0.7
Boguslavka,"Iron, IIAB",256000,1916,44.55,131.63333
Borgo San Donino,LL6,1676,1808,44.86667,10.05
Bori,L6,8600,1894,21.95,78.03333
Boriskino,CM2,1342,1930,54.23333,52.48333
Borkut,L5,7000,1852,48.15,24.28333
Borodino,H5,500,1812,55.46667,35.86667
Botschetschki,L4,614,1823,51.33333,33.88333
Boumdeid (2003),L6,190,2003,17.71067,-11.3715
Boumdeid (2011),L6,3599,2011,17.17493,-11.34133
Bovedy,L3,5460,1969,54.56667,-6.33333
Bradford Woods,L,762,1886,40.5,-80.08333
Braunau,"Iron, IIAB",39000,1847,50.6,16.3
Breitscheid,H5,1500,1956,50.66694,8.18361
Bremervörde,H/L3.9,7250,1855,53.4,9.1
Brient,Eucrite-pmict,219,1933,52.13333,59.31667
Bruderheim,L6,303000,1960,53.9,-112.88333
Bukhara,CV3,5300,2001,39.77978,64.60035
Bunburra Rockhole,Eucrite,324,2007,-31.35,129.19
Bununu,Howardite,357,1942,10.01667,9.58333
